subject,Eprime.LevelName,Sample,Cycle,Running,Procedure,ITI,CSplus,CSmin1,CSmin2,VasScore_verwachting,VasScore_Angst,VasScore_PreCS1,VasScore_PreCS2,VasScore_PreCS3,VasScore_PostCS1,VasScore_PostCS2,VasScore_PostCS3,VasScore_FilmOnaangenaam,VasScore_CueOnaangenaam,OefenVASverwachting.RT,OefenVASverwachting.RESP,OefenVASAngst.RT,OefenVASAngst.RESP,CS1VAS.RT,CS1VAS.RESP,CS2VAS.RT,CS2VAS.RESP,CS3VAS.RT,CS3VAS.RESP,CSmin1Verwachting.RT,CSmin1Verwachting.RESP,CSmin1Angst.RT,CSmin1Angst.RESP,CSmin2Verwachting.RT,CSmin2Verwachting.RESP,CSmin2Angst.RT,CSmin2Angst.RESP,CSplusVerwachting.RT,CSplusVerwachting.RESP,CSplusAngst.RT,CSplusAngst.RESP,Geslacht.RESP,Leeftijd.RESP
2,HabTrials_2,4,2,HabTrials,CS2,4000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HabTrials_3,5,2,HabTrials,CS3,2000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HabTrials_1,6,2,HabTrials,CS1,2000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Habituation_1,1,1,Habituation,HabProc,2000,NA,NA,NA,NA,NA,78,34,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6350,1,4851,1,2036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial1A_2,1,1,AcqTrial1A,CSmin1,2000,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,1,3331,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial1A_3,2,1,AcqTrial1A,CSminus2,2000,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359,1,3169,1,NA,NA,NA,NA,NA,NA
2,AcqTrial1A_1,3,1,AcqTrial1A,CSplus,6000,NA,NA,NA,82,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2518,1,3181,1,NA,NA
2,AcqTrial2A_1,1,1,AcqTrial2A,CSplus,6000,NA,NA,NA,40,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,3855,1,NA,NA
2,AcqTrial2A_2,2,1,AcqTrial2A,CSmin1,6000,NA,NA,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698,1,2287,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial2A_3,3,1,AcqTrial2A,CSminus2,6000,NA,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2982,1,1723,1,NA,NA,NA,NA,NA,NA
2,AcqTrial3A_2,1,1,AcqTrial3A,CSmin1,4000,NA,NA,NA,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110,1,2223,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial3A_3,2,1,AcqTrial3A,CSminus2,2000,NA,NA,NA,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389,1,2698,1,NA,NA,NA,NA,NA,NA
2,AcqTrial3A_1,3,1,AcqTrial3A,CSplus,2000,NA,NA,NA,93,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1516,1,3529,1,NA,NA
2,AcqTrial4A_3,1,1,AcqTrial4A,CSminus2,4000,NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2423,1,2844,1,NA,NA,NA,NA,NA,NA
2,AcqTrial4A_1,2,1,AcqTrial4A,CSplus,6000,NA,NA,NA,95,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,1960,1,NA,NA
2,AcqTrial4A_2,3,1,AcqTrial4A,CSmin1,2000,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043,1,2044,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial5A_2,1,1,AcqTrial5A,CSmin1,4000,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654,1,2031,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial5A_1,2,1,AcqTrial5A,CSplus,6000,NA,NA,NA,100,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,1,1723,1,NA,NA
2,AcqTrial5A_3,3,1,AcqTrial5A,CSminus2,2000,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102,1,2411,1,NA,NA,NA,NA,NA,NA
2,AcqTrial6A_1,1,1,AcqTrial6A,CSplus,6000,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1149,1,1802,1,NA,NA
